class,support,recall_metric,mean,sd,ci95_low,ci95_high,median,q1,q3,min,max,n_seeds
Spoofing,1744,recall,0.7292431192660551,0.010653416662838174,0.7160151553379449,0.7424710831941653,0.7345183486238532,0.7310779816513762,0.7345183486238532,0.7104357798165137,0.7356651376146789,5
DDoS-ICMP,349699,recall,0.9994057746805108,0.0006660307383103831,0.9985787882910537,1.000232761069968,0.9998141258625276,0.998953385625924,0.999845581485792,0.9984558148579208,0.9999599655703906,5
DDoS-SYN,172397,recall,0.9982609906204865,0.002097926509350717,0.9956560708029484,1.0008659104380246,0.9993561372877718,0.9975115576257128,0.9995765587568228,0.9949071039519248,0.9999535954801998,5
DDoS-TCP,182598,recall,0.9981445579907776,0.0027111590459250184,0.994778209410048,1.001510906571507,0.9998521341964316,0.9972672208896044,0.9999233288425942,0.993745824160177,0.9999342818650808,5
DDoS-UDP,362070,recall,0.9991543071781699,0.001128432446665042,0.9977531732347409,1.0005554411215989,0.9998978098157816,0.998251719280802,0.9999944762062584,0.9976330543817494,0.9999944762062584,5
DoS-ICMP,98432,recall,0.9983887353706111,0.0021512849813789103,0.9957175622593565,1.0010599084818659,0.9998882477243172,0.9964544050715216,0.9999492035110532,0.995651820546164,1.0,5
DoS-SYN,98595,recall,0.9713129469040013,0.055443472740618935,0.902470782866583,1.0401551109414195,0.9999898574978447,0.9836401440235306,0.9999898574978447,0.872944875500786,1.0,5
DoS-TCP,82096,recall,0.9968622100954979,0.004741576136996869,0.9909747657114468,1.0027496544795491,0.9996345741570845,0.99578542194504,0.9999025531085558,0.9889885012668096,1.0,5
DoS-UDP,137553,recall,0.998452959949983,0.002153170902257466,0.9957794451586699,1.001126474741296,0.9999781902248588,0.996786693129194,0.9999927300749528,0.9955071863209092,1.0,5
MQTT-DDoS-Connect_Flood,41916,recall,0.9975236186659032,0.003594669141413254,0.9930602474075564,1.0019869899242502,0.999976142761714,0.9956579826319304,0.999976142761714,0.992031682412444,0.999976142761714,5
MQTT-DDoS-Publish_Flood,8416,recall,0.8776853612167301,0.10625047570932214,0.7457579707364412,1.009612751697019,0.8972195817490495,0.8788022813688213,0.905180608365019,0.7072243346007605,1.0,5
MQTT-DoS-Connect_Flood,3131,recall,0.9975087831363781,0.003457647678754226,0.9932155464951962,1.0018020197775601,1.0,0.994570424784414,1.0,0.9929734908974768,1.0,5
MQTT-DoS-Publish_Flood,8505,recall,0.8589535567313344,0.14917949103412048,0.6737227534439059,1.044184360018763,0.9005291005291005,0.8871252204585538,0.902527924750147,0.6045855379188713,1.0,5
MQTT-Malformed_Data,1747,recall,0.604350314825415,0.007445729841561111,0.5951052201407971,0.6135954095100329,0.6027475672581568,0.6010303377218088,0.6033199771036062,0.5975958786491128,0.6170578133943904,5
Recon-OS_Scan,3834,recall,0.8809076682316119,0.0028127928460183484,0.8774151246203058,0.8844002118429181,0.8821074595722483,0.8792383933229003,0.8823682837767345,0.8768909754825248,0.8839332290036516,5
Recon-Ping_Sweep,186,recall,0.6924731182795699,0.016744528497201573,0.6716820400776977,0.7132641964814421,0.6935483870967742,0.6881720430107527,0.7043010752688172,0.6666666666666666,0.7096774193548387,5
Recon-Port_Scan,22622,recall,0.9618866590045089,0.02801728011049892,0.9270986109637119,0.9966747070453058,0.9752011316417648,0.957917071876934,0.9797542215542392,0.9146848200866412,0.9818760498629652,5
Recon-VulScan,1034,recall,0.6104448742746615,0.008103040644353368,0.6003836204305861,0.620506128118737,0.6121856866537717,0.6063829787234043,0.6160541586073501,0.5986460348162476,0.6189555125725339,5
