benchmark_type,batch_size,latency_ms_mean_of_seed_medians,latency_ms_sd_of_seed_medians,latency_ms_median_of_seed_medians,latency_ms_mean_of_seed_p95,latency_ms_sd_of_seed_p95,latency_ms_mean_of_seed_p99,latency_ms_sd_of_seed_p99,throughput_mean_of_seed_medians,throughput_sd_of_seed_medians,n_seeds
end_to_end,1.0,7.9266,2.4832,6.8288,10.7955,4.3463,13.0242,6.2552,133.5675,29.6001,5
end_to_end,32.0,8.3247,3.0019,7.1486,9.7864,3.6123,11.2208,4.0941,4135.789,1013.8438,5
end_to_end,256.0,8.4213,2.8616,7.0867,9.4697,3.1626,10.1328,3.3124,32481.8565,7684.9613,5
end_to_end,512.0,8.7777,2.9688,7.399,10.902,4.5414,12.204,4.5547,62310.7417,14772.1065,5
end_to_end,4096.0,12.1775,2.194,11.2691,13.3455,2.6008,14.1045,2.5538,343589.5395,50223.4184,5
full_test_end_to_end,4096.0,21256.372,4147.692,19308.2494,22210.8798,4704.4235,22236.4133,4716.689,77920.7441,12763.9497,5
model_only,1.0,7.9426,2.8761,6.7082,9.1467,3.6008,10.0173,4.0927,135.4727,33.0415,5
model_only,32.0,8.1936,2.9995,6.811,9.3026,3.8757,9.6628,3.9399,4210.8743,1045.5775,5
model_only,256.0,8.2601,2.8582,6.9862,9.2637,3.2673,9.6714,3.1883,33168.7453,7869.5144,5
model_only,512.0,8.5594,2.9964,7.1936,9.9016,4.2133,10.7128,4.8829,64105.3266,15323.0256,5
model_only,4096.0,11.96,2.2567,10.9101,13.5529,3.3143,14.2758,3.8833,350458.7081,52909.6667,5
