metric,mean,sd,ci95_low,ci95_high,median,q1,q3,min,max,n_seeds
tau_p85,0.9309,0.0756,0.8371,1.0248,0.8896,0.8794,0.9728,0.8685,1.0443,5
recall_attack,0.9937,0.0061,0.9862,1.0013,0.9967,0.9928,0.9973,0.9835,0.9983,5
precision_attack,0.9942,0.0,0.9941,0.9942,0.9942,0.9942,0.9942,0.9941,0.9942,5
fpr,0.2441,0.0025,0.2411,0.2472,0.2452,0.2433,0.2457,0.2402,0.2463,5
fp,9181.2,92.7534,9066.0314,9296.3686,9220.0,9151.0,9239.0,9033.0,9263.0,5
specificity,0.7559,0.0025,0.7528,0.7589,0.7548,0.7543,0.7567,0.7537,0.7598,5
balanced_accuracy,0.8748,0.0019,0.8725,0.8771,0.8752,0.8747,0.8761,0.8717,0.8763,5
f1_macro,0.8756,0.0436,0.8215,0.9298,0.8961,0.8642,0.9018,0.8045,0.9117,5
f1_attack,0.9939,0.003,0.9902,0.9977,0.9954,0.9935,0.9957,0.9888,0.9962,5
accuracy,0.9882,0.0059,0.9809,0.9955,0.991,0.9873,0.9916,0.9783,0.9927,5
kappa,0.7514,0.087,0.6433,0.8594,0.7922,0.7283,0.8036,0.6093,0.8234,5
auc_roc,0.878,0.036,0.8333,0.9227,0.8791,0.8639,0.8985,0.8267,0.9218,5
ap_attack,0.9911,0.0019,0.9888,0.9935,0.9916,0.9899,0.992,0.9886,0.9936,5
ap_benign,0.79,0.0412,0.7388,0.8413,0.7945,0.7491,0.8154,0.7487,0.8425,5
ap_attack_minus_prevalence,0.0144,0.0019,0.0121,0.0168,0.0149,0.0132,0.0153,0.0119,0.0169,5
ap_benign_minus_prevalence,0.7667,0.0412,0.7155,0.818,0.7712,0.7258,0.7921,0.7254,0.8192,5
