metric,mean,sd,ci95_low,ci95_high,median,q1,q3,min,max,n_seeds
tau_p85,0.9309375405311584,0.07560329884895557,0.8370636462049702,1.0248114348573467,0.8896094560623169,0.8794333338737488,0.9727675914764404,0.8685399293899536,1.0443373918533325,5
recall_attack,0.9937251320108462,0.006079933595409698,0.9861758973539564,1.001274366667736,0.996703613846471,0.9927773813488099,0.9972852544281116,0.9835206063777492,0.9983388040530897,5
precision_attack,0.9941739661757731,2.566522012705163e-05,0.9941420985959354,0.9942058337556109,0.9941701469793205,0.9941643322521863,0.9941874018238765,0.9941397192657916,0.994208230557691,5
fpr,0.24413540032440767,0.002466387550030983,0.24107297569791622,0.24719782495089912,0.24516712314196826,0.24333235833754355,0.2456723482330417,0.2401946446140346,0.2463105272954503,5
fp,9181.2,92.75343659401521,9066.031397071536,9296.368602928465,9220.0,9151.0,9239.0,9033.0,9263.0,5
specificity,0.7558645996755924,0.00246638755003099,0.752802175049101,0.7589270243020838,0.7548328768580318,0.7543276517669583,0.7566676416624565,0.7536894727045497,0.7598053553859654,5
balanced_accuracy,0.8747948658432193,0.0018668183028562081,0.8724769047653749,0.8771128269210637,0.8751965432755103,0.8747225115056332,0.8760590656430717,0.8716629808818572,0.876333227910024,5
f1_macro,0.8756398631303451,0.04359261200330567,0.8215124862181752,0.9297672400425151,0.8960908477436256,0.8641521786966567,0.9018100380290359,0.8044587850188527,0.9116874661635553,5
f1_attack,0.9939419813982193,0.0030399882681139186,0.9901673374107405,0.9977166253856982,0.9954200156086882,0.9934818912861474,0.9957252643211562,0.9888355405678588,0.996247195207246,5
accuracy,0.988183488602896,0.005882529306698524,0.9808793637443899,0.995487613461402,0.9910419023381503,0.987276527677796,0.9916366308136257,0.9783085178746882,0.9926538643102203,5
kappa,0.7513730089220981,0.087038813914318,0.6433000472383326,0.8594459706058637,0.792196989434656,0.7283099236009445,0.8036416676197976,0.609305825815857,0.8234106381392354,5
auc_roc,0.878008580915046,0.035966816233898344,0.8333498800674037,0.9226672817626882,0.8791346546980945,0.8639024745719169,0.8984686117401532,0.8266891263774063,0.9218480371876586,5
ap_attack,0.9911328106261779,0.0019162948810111263,0.9887534162624841,0.9935122049898716,0.9915570602256947,0.9898978439734544,0.991998737370422,0.9886321246309049,0.9935782869304133,5
ap_benign,0.7900446607063296,0.04123982386802261,0.7388386561171416,0.8412506652955176,0.7945114687143116,0.7490885280005724,0.8154014576521378,0.748703561768757,0.8425182873958698,5
ap_attack_minus_prevalence,0.014430679144102098,0.0019162948810111263,0.012051284780408417,0.01681007350779578,0.014854928743618934,0.01319571249137863,0.015296605888346249,0.011929993148829143,0.016876155448337538,5
ap_benign_minus_prevalence,0.7667467921884054,0.04123982386802261,0.7155407875992174,0.8179527967775934,0.7712136001963873,0.7257906594826481,0.7921035891342135,0.7254056932508327,0.8192204188779455,5
