phase,class,support,detected,missed,recall,seed
ARP Spoofing,Spoofing,1744,1281,463,0.7345183486238532,40
Impact: DDoS,DDoS-ICMP,349699,349634,65,0.9998141258625276,40
Impact: DDoS,DDoS-SYN,172397,172324,73,0.9995765587568228,40
Impact: DDoS,DDoS-TCP,182598,182584,14,0.9999233288425942,40
Impact: DDoS,DDoS-UDP,362070,362068,2,0.9999944762062584,40
Impact: DoS,DoS-ICMP,98432,98432,0,1.0,40
Impact: DoS,DoS-SYN,98595,98594,1,0.9999898574978447,40
Impact: DoS,DoS-TCP,82096,82096,0,1.0,40
Impact: DoS,DoS-UDP,137553,137552,1,0.9999927300749528,40
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41915,1,0.999976142761714,40
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,8416,0,1.0,40
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3131,0,1.0,40
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,8505,0,1.0,40
Impact: MQTT,MQTT-Malformed_Data,1747,1054,693,0.6033199771036062,40
Reconnaissance,Recon-OS_Scan,3834,3389,445,0.8839332290036516,40
Reconnaissance,Recon-Ping_Sweep,186,129,57,0.6935483870967742,40
Reconnaissance,Recon-Port_Scan,22622,22212,410,0.9818760498629652,40
Reconnaissance,Recon-VulScan,1034,640,394,0.6189555125725339,40
ARP Spoofing,Spoofing,1744,1281,463,0.7345183486238532,41
Impact: DDoS,DDoS-ICMP,349699,349685,14,0.9999599655703906,41
Impact: DDoS,DDoS-SYN,172397,172389,8,0.9999535954801998,41
Impact: DDoS,DDoS-TCP,182598,182586,12,0.9999342818650808,41
Impact: DDoS,DDoS-UDP,362070,362033,37,0.9998978098157816,41
Impact: DoS,DoS-ICMP,98432,98421,11,0.9998882477243172,41
Impact: DoS,DoS-SYN,98595,98595,0,1.0,41
Impact: DoS,DoS-TCP,82096,82066,30,0.9996345741570845,41
Impact: DoS,DoS-UDP,137553,137550,3,0.9999781902248588,41
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41915,1,0.999976142761714,41
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,7618,798,0.905180608365019,41
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3131,0,1.0,41
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,7676,829,0.902527924750147,41
Impact: MQTT,MQTT-Malformed_Data,1747,1044,703,0.5975958786491128,41
Reconnaissance,Recon-OS_Scan,3834,3382,452,0.8821074595722483,41
Reconnaissance,Recon-Ping_Sweep,186,132,54,0.7096774193548387,41
Reconnaissance,Recon-Port_Scan,22622,22164,458,0.9797542215542392,41
Reconnaissance,Recon-VulScan,1034,627,407,0.6063829787234043,41
ARP Spoofing,Spoofing,1744,1275,469,0.7310779816513762,42
Impact: DDoS,DDoS-ICMP,349699,349333,366,0.998953385625924,42
Impact: DDoS,DDoS-SYN,172397,171519,878,0.9949071039519248,42
Impact: DDoS,DDoS-TCP,182598,181456,1142,0.993745824160177,42
Impact: DDoS,DDoS-UDP,362070,361437,633,0.998251719280802,42
Impact: DoS,DoS-ICMP,98432,98004,428,0.995651820546164,42
Impact: DoS,DoS-SYN,98595,86068,12527,0.872944875500786,42
Impact: DoS,DoS-TCP,82096,81192,904,0.9889885012668096,42
Impact: DoS,DoS-UDP,137553,137111,442,0.996786693129194,42
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41734,182,0.9956579826319304,42
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,5952,2464,0.7072243346007605,42
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3109,22,0.9929734908974768,42
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,5142,3363,0.6045855379188713,42
Impact: MQTT,MQTT-Malformed_Data,1747,1053,694,0.6027475672581568,42
Reconnaissance,Recon-OS_Scan,3834,3383,451,0.8823682837767345,42
Reconnaissance,Recon-Ping_Sweep,186,128,58,0.6881720430107527,42
Reconnaissance,Recon-Port_Scan,22622,22061,561,0.9752011316417648,42
Reconnaissance,Recon-VulScan,1034,637,397,0.6160541586073501,42
ARP Spoofing,Spoofing,1744,1239,505,0.7104357798165137,43
Impact: DDoS,DDoS-ICMP,349699,349159,540,0.9984558148579208,43
Impact: DDoS,DDoS-SYN,172397,171968,429,0.9975115576257128,43
Impact: DDoS,DDoS-TCP,182598,182099,499,0.9972672208896044,43
Impact: DDoS,DDoS-UDP,362070,361213,857,0.9976330543817494,43
Impact: DoS,DoS-ICMP,98432,98083,349,0.9964544050715216,43
Impact: DoS,DoS-SYN,98595,96982,1613,0.9836401440235306,43
Impact: DoS,DoS-TCP,82096,81750,346,0.99578542194504,43
Impact: DoS,DoS-UDP,137553,136935,618,0.9955071863209092,43
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41582,334,0.992031682412444,43
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,7551,865,0.8972195817490495,43
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3114,17,0.994570424784414,43
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,7659,846,0.9005291005291005,43
Impact: MQTT,MQTT-Malformed_Data,1747,1050,697,0.6010303377218088,43
Reconnaissance,Recon-OS_Scan,3834,3362,472,0.8768909754825248,43
Reconnaissance,Recon-Ping_Sweep,186,131,55,0.7043010752688172,43
