phase,n_classes,support,detected,missed,macro_recall,weighted_recall,seed
Reconnaissance,4,27676,26370,1306,0.7945782946339813,0.9528110998699234,40
ARP Spoofing,1,1744,1281,463,0.7345183486238532,0.7345183486238532,40
Impact: DoS,4,416676,416674,2,0.9999956468931994,0.9999952001075176,40
Impact: DDoS,4,1066764,1066610,154,0.9998271224170509,0.9998556381730168,40
Impact: MQTT,5,63715,63021,694,0.920659223973064,0.9891077454288628,40
Reconnaissance,4,27676,26305,1371,0.7944805198011826,0.9504624945801416,41
ARP Spoofing,1,1744,1281,463,0.7345183486238532,0.7345183486238532,41
Impact: DoS,4,416676,416632,44,0.9998752530265652,0.9998944023653872,41
Impact: DDoS,4,1066764,1066693,71,0.9999364131828632,0.999933443573274,41
Impact: MQTT,5,63715,61384,2331,0.8810561109051985,0.9634152083496822,41
Reconnaissance,4,27676,26209,1467,0.7904489042591505,0.9469937852290794,42
ARP Spoofing,1,1744,1275,469,0.7310779816513762,0.7310779816513762,42
Impact: DoS,4,416676,402375,14301,0.9635929726107384,0.9656783688045388,42
Impact: DDoS,4,1066764,1063745,3019,0.996464508254707,0.997169945742451,42
Impact: MQTT,5,63715,56990,6725,0.7806377826614392,0.8944518559208977,42
Reconnaissance,4,27676,24804,2872,0.7736307264135577,0.8962277785807198,43
ARP Spoofing,1,1744,1239,505,0.7104357798165137,0.7104357798165137,43
Impact: DoS,4,416676,413750,2926,0.9928467893402502,0.9929777572982366,43
Impact: DDoS,4,1066764,1064439,2325,0.9977169119387468,0.9978205113783368,43
Impact: MQTT,5,63715,60956,2759,0.8770762254393633,0.9566977948677704,43
Reconnaissance,4,27676,25798,1878,0.7790019546300682,0.932143373319844,44
ARP Spoofing,1,1744,1283,461,0.7356651376146789,0.7356651376146789,44
Impact: DoS,4,416676,416662,14,0.9999604035293634,0.9999664007526232,44
Impact: DDoS,4,1066764,1066570,194,0.9997620822940636,0.9998181415945796,44
Impact: MQTT,5,63715,61065,2650,0.8765922915966959,0.9584085380208742,44
