phase,class,support,detected,missed,recall
ARP Spoofing,Spoofing,1744,1281,463,0.7345183486238532
Impact: DDoS,DDoS-ICMP,349699,349685,14,0.9999599655703906
Impact: DDoS,DDoS-SYN,172397,172389,8,0.9999535954801998
Impact: DDoS,DDoS-TCP,182598,182586,12,0.9999342818650807
Impact: DDoS,DDoS-UDP,362070,362033,37,0.9998978098157815
Impact: DoS,DoS-ICMP,98432,98421,11,0.9998882477243173
Impact: DoS,DoS-SYN,98595,98595,0,1.0
Impact: DoS,DoS-TCP,82096,82066,30,0.9996345741570843
Impact: DoS,DoS-UDP,137553,137550,3,0.9999781902248588
Impact: MQTT,MQTT-DDoS-Connect_Flood,41916,41915,1,0.9999761427617139
Impact: MQTT,MQTT-DDoS-Publish_Flood,8416,7618,798,0.905180608365019
Impact: MQTT,MQTT-DoS-Connect_Flood,3131,3131,0,1.0
Impact: MQTT,MQTT-DoS-Publish_Flood,8505,7676,829,0.902527924750147
Impact: MQTT,MQTT-Malformed_Data,1747,1044,703,0.5975958786491128
Reconnaissance,Recon-OS_Scan,3834,3382,452,0.8821074595722483
Reconnaissance,Recon-Ping_Sweep,186,132,54,0.7096774193548387
Reconnaissance,Recon-Port_Scan,22622,22164,458,0.9797542215542392
Reconnaissance,Recon-VulScan,1034,627,407,0.6063829787234043
