,precision,recall,f1-score,support
Benign,0.9876674181143085,0.7921929428032015,0.8791961163329448,37607.0
DDoS-ICMP,0.9982070756173722,0.9982327658929536,0.9982199205898711,349699.0
DDoS-SYN,0.9972200763162207,0.9883756677900427,0.992778174296826,172397.0
DDoS-TCP,0.9946531949754233,0.9973877041369565,0.9960185727020656,182598.0
DDoS-UDP,0.9989515581011552,0.9947164912862154,0.9968295265047986,362070.0
DoS-ICMP,0.9925119128658951,0.9924211638491548,0.9924665362830509,98432.0
DoS-SYN,0.9899633470319174,0.9944013388102845,0.9921773801813472,98595.0
DoS-TCP,0.9941479913375673,0.9953347300721107,0.9947410067563455,82096.0
DoS-UDP,0.9868388913633817,0.9986405240161974,0.9927046334069254,137553.0
MQTT-DDoS-Connect_Flood,0.996776658230266,0.9959681267296497,0.9963722284541398,41916.0
MQTT-DDoS-Publish_Flood,0.9447565543071161,0.11989068441064639,0.21277941796710248,8416.0
MQTT-DoS-Connect_Flood,0.9269612263300271,0.9849888214627914,0.9550944564880768,3131.0
MQTT-DoS-Publish_Flood,0.5315450509597949,0.9995296884185773,0.694015838027594,8505.0
MQTT-Malformed_Data,0.5631929046563193,0.8723526044647968,0.6844823714349877,1747.0
Recon-OS_Scan,0.17729956198819272,0.4856546687532603,0.259765625,3834.0
Recon-Ping_Sweep,0.21309370988446727,0.8924731182795699,0.34404145077720205,186.0
Recon-Port_Scan,0.8919081721437655,0.589072584210061,0.7095279929718074,22622.0
Recon-VulScan,0.3072429906542056,0.25435203094777564,0.2783068783068783,1034.0
Spoofing,0.15458937198067632,0.7889908256880734,0.25852512916862375,1744.0
accuracy,0.9783345372454902,0.9783345372454902,0.9783345372454902,0.9783345372454902
macro avg,0.7709225087820039,0.828156656948543,0.7488443818763467,1614182.0
weighted avg,0.9873273576710354,0.9783345372454902,0.9796332959158834,1614182.0
