,precision,recall,f1-score,support
Benign,0.971559147907539,0.6839950009306778,0.8028026153582073,37607.0
DDoS-ICMP,0.8569804456571168,0.21555680742581476,0.34446909580289675,349699.0
DDoS-SYN,0.7323409106148997,0.950254354774155,0.8271866132110722,172397.0
DDoS-TCP,0.6911934801467119,0.9948904150100221,0.815691046324193,182598.0
DDoS-UDP,0.7359873859544986,0.8869555610793493,0.8044498496384686,362070.0
DoS-ICMP,0.23785478602945678,0.8685691644993498,0.37344334904362336,98432.0
DoS-SYN,0.8327172103681605,0.3906790405192961,0.5318393946925137,98595.0
DoS-TCP,0.5602649006622517,0.01030500877022023,0.020237781977370046,82096.0
DoS-UDP,0.3547354607432065,0.1611451585934149,0.22161678472697824,137553.0
MQTT-DDoS-Connect_Flood,0.9934921978952461,0.9797213474568184,0.9865587200153751,41916.0
MQTT-DDoS-Publish_Flood,0.6594663278271918,0.12333650190114069,0.2078078078078078,8416.0
MQTT-DoS-Connect_Flood,0.7943336831059811,0.9671031619290962,0.8722454270488261,3131.0
MQTT-DoS-Publish_Flood,0.5298153692614771,0.9987066431510876,0.6923421771202674,8505.0
MQTT-Malformed_Data,0.25366383209697846,0.8025186033199772,0.3854825405554028,1747.0
Recon-OS_Scan,0.11136844891476971,0.43896713615023475,0.17766283120447587,3834.0
Recon-Ping_Sweep,0.06891089108910892,0.9354838709677419,0.1283659166359277,186.0
Recon-Port_Scan,0.8226950354609929,0.40509238794094243,0.5428749148425698,22622.0
Recon-VulScan,0.11237373737373738,0.25822050290135395,0.1565982404692082,1034.0
Spoofing,0.13213871342013664,0.5877293577981652,0.2157667613935375,1744.0
accuracy,0.6084171425526985,0.6084171425526985,0.6084171425526985,0.6084171425526985
macro avg,0.550099577080498,0.6136436855325715,0.479339045677301,1614182.0
weighted avg,0.6997335168436302,0.6084171425526985,0.5703979841991063,1614182.0
