,precision,recall,f1-score,support
Benign,0.06976744186046512,0.001196585742016114,0.0023528181532991737,37607.0
DDoS-ICMP,0.994961819817033,0.993354284684829,0.9941574024123073,349699.0
DDoS-SYN,0.5640066157606172,0.7536326038156116,0.6451747460000596,172397.0
DDoS-TCP,0.17601515718562874,0.16484298842265524,0.17024597998902732,182598.0
DDoS-UDP,0.6105053727893921,0.5559532687049465,0.5819536938392886,362070.0
DoS-ICMP,0.05825375303608182,0.060671326397919376,0.059437966847309516,98432.0
DoS-SYN,0.046783124474997,0.027678888381763782,0.03478028140293638,98595.0
DoS-TCP,0.9927406850537988,0.5147266614694991,0.6779451637227062,82096.0
DoS-UDP,0.2815729305440536,0.45481378086991925,0.34781520944467764,137553.0
MQTT-DDoS-Connect_Flood,0.6072287390029325,0.9879998091420937,0.7521704384467289,41916.0
MQTT-DDoS-Publish_Flood,0.0,0.0,0.0,8416.0
MQTT-DoS-Connect_Flood,0.0,0.0,0.0,3131.0
MQTT-DoS-Publish_Flood,0.0,0.0,0.0,8505.0
MQTT-Malformed_Data,0.0,0.0,0.0,1747.0
Recon-OS_Scan,0.0,0.0,0.0,3834.0
Recon-Ping_Sweep,0.0,0.0,0.0,186.0
Recon-Port_Scan,0.3751962323390895,0.010564936787198302,0.020551184487725183,22622.0
Recon-VulScan,0.0,0.0,0.0,1034.0
Spoofing,0.0,0.0,0.0,1744.0
accuracy,0.5351992526245491,0.5351992526245491,0.5351992526245491,0.5351992526245491
macro avg,0.25142273009810995,0.2381807965483396,0.22560973077610869,1614182.0
weighted avg,0.53618352039172,0.5351992526245491,0.5238178398866093,1614182.0
