,precision,recall,f1-score,support
Benign,0.9657574152542373,0.9696864945355917,0.967717966749373,37607.0
DDoS-ICMP,0.7273181091126923,0.999922790742896,0.842108305196588,349699.0
DDoS-SYN,0.999918734581338,0.9992111231633961,0.9995648036394021,172397.0
DDoS-TCP,0.9999452375867299,0.9999945234887567,0.9999698799304501,182598.0
DDoS-UDP,0.9991910120136879,0.637904272654459,0.778681878484145,362070.0
DoS-ICMP,0.4231118260054276,0.9994615572171651,0.5945338349272538,98432.0
DoS-SYN,0.9999391400488908,0.999858004969826,0.9998985708634662,98595.0
DoS-TCP,1.0,0.9999147339699863,0.9999573651673417,82096.0
DoS-UDP,0.9831346321605118,0.024579616584153016,0.04796016795279165,137553.0
MQTT-DDoS-Connect_Flood,0.9997853309481216,1.0,0.9998926539521237,41916.0
MQTT-DDoS-Publish_Flood,1.0,0.14555608365019013,0.25412301628461775,8416.0
MQTT-DoS-Connect_Flood,1.0,0.9987224528904504,0.9993608181527645,3131.0
MQTT-DoS-Publish_Flood,0.5420650095602294,1.0,0.7030378177309361,8505.0
MQTT-Malformed_Data,0.9878397711015737,0.7904979965655409,0.8782193958664547,1747.0
Recon-OS_Scan,0.9421619465496609,0.6160667709963484,0.7449929033275509,3834.0
Recon-Ping_Sweep,0.6698564593301436,0.7526881720430108,0.7088607594936709,186.0
Recon-Port_Scan,0.9122542835049449,0.990849615418619,0.949929014896277,22622.0
Recon-VulScan,0.4660691421254802,0.3520309477756286,0.40110192837465564,1034.0
Spoofing,0.6005138086062941,0.5361238532110092,0.5664950015146926,1744.0
accuracy,0.8281364802729804,0.8281364802729804,0.8281364802729804,0.8281364802729804
macro avg,0.853624308341577,0.7796352110461593,0.7598108464476082,1614182.0
weighted avg,0.8987020588632335,0.8281364802729804,0.8017050606258446,1614182.0
