,precision,recall,f1-score,support
Benign,0.8781443298969073,0.9060015422660674,0.8918554582695303,37607.0
DDoS-ICMP,0.7814601559911527,0.998207029473919,0.8766347183732613,349699.0
DDoS-SYN,0.815654670129027,0.9328526598490693,0.8703259237211316,172397.0
DDoS-TCP,0.6903501798220708,0.9986746842791269,0.8163707504006733,182598.0
DDoS-UDP,0.7243940476310256,0.994238683127572,0.8381320465882435,362070.0
DoS-ICMP,0.5331541218637993,0.006044782184655396,0.011954032225659984,98432.0
DoS-SYN,0.8575373930163244,0.6361580201835793,0.7304424789067003,98595.0
DoS-TCP,0.7477272727272727,0.004007503410641201,0.007972278763206359,82096.0
DoS-UDP,0.13121185701830862,0.004376494878337804,0.008470462428152328,137553.0
MQTT-DDoS-Connect_Flood,0.9862790862154325,0.9980675636988262,0.9921383088470705,41916.0
MQTT-DDoS-Publish_Flood,0.9871287128712871,0.1184648288973384,0.21154254190536814,8416.0
MQTT-DoS-Connect_Flood,0.969811320754717,0.9029064196742255,0.9351637446245451,3131.0
MQTT-DoS-Publish_Flood,0.529106808244847,0.9960023515579071,0.6910870895370181,8505.0
MQTT-Malformed_Data,0.7360774818401937,0.17401259301659988,0.2814814814814815,1747.0
Recon-OS_Scan,0.612565445026178,0.06103286384976526,0.1110056925996205,3834.0
Recon-Ping_Sweep,0.7222222222222222,0.489247311827957,0.5833333333333334,186.0
Recon-Port_Scan,0.8285881207400195,0.9404119883299443,0.8809656914508147,22622.0
Recon-VulScan,0.057971014492753624,0.0038684719535783366,0.007252946509519492,1034.0
Spoofing,0.3554613935969868,0.4329128440366973,0.39038262668045504,1744.0
accuracy,0.7603510632630026,0.7603510632630026,0.7603510632630026,0.7603510632630026
macro avg,0.6813076649526593,0.5577625598155689,0.5335006108760939,1614182.0
weighted avg,0.7013428327297708,0.7603510632630026,0.676193981809472,1614182.0
