,precision,recall,f1-score,support
Benign,0.9698983478238029,0.9818650783098891,0.9758450276170089,37607.0
DDoS-ICMP,0.9995025416121083,0.9997283377990787,0.9996154269547104,349699.0
DDoS-SYN,0.9998546959367172,0.9978595915242144,0.9988561474814922,172397.0
DDoS-TCP,0.9997754777942063,0.9998411811739449,0.9998083284046352,182598.0
DDoS-UDP,0.9986561365166617,0.9995332394288398,0.999094495471097,362070.0
DoS-ICMP,0.9997052126534928,0.9991364596879063,0.9994207552538514,98432.0
DoS-SYN,0.9997870052944399,0.9997768649525838,0.9997819350977996,98595.0
DoS-TCP,0.999878197320341,0.9999269148314168,0.9999025554824722,82096.0
DoS-UDP,0.9994765159226406,0.9993820563709989,0.9994292839148943,137553.0
MQTT-DDoS-Connect_Flood,0.9999045755999809,0.9999522855234279,0.9999284299926045,41916.0
MQTT-DDoS-Publish_Flood,0.9998672859986728,0.8951996197718631,0.9446429690928468,8416.0
MQTT-DoS-Connect_Flood,1.0,0.9987224528904504,0.9993608181527645,3131.0
MQTT-DoS-Publish_Flood,0.9067164179104478,1.0,0.9510763209393346,8505.0
MQTT-Malformed_Data,0.9952510176390773,0.8397252432741843,0.9108972368829557,1747.0
Recon-OS_Scan,0.8640226628895185,0.6364110589462703,0.7329528386902974,3834.0
Recon-Ping_Sweep,0.9197080291970803,0.6774193548387096,0.7801857585139319,186.0
Recon-Port_Scan,0.9371859296482412,0.9893024489435063,0.9625392456238442,22622.0
Recon-VulScan,0.8847184986595175,0.3191489361702128,0.4690831556503198,1034.0
Spoofing,0.7188735177865613,0.8342889908256881,0.7722929936305732,1744.0
accuracy,0.9966552718342789,0.9966552718342789,0.9966552718342789,0.9966552718342789
macro avg,0.9575148455896582,0.9035379008033255,0.9207744064656543,1614182.0
weighted avg,0.9966768533182462,0.9966552718342789,0.9964880867217377,1614182.0
