,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,29792,0,0,0,0,0,0,0,0,0,0,0,0,783,200,465,27,105,6235
DDoS-ICMP,0,349081,1,11,48,513,6,15,8,0,1,0,11,1,0,1,0,0,2
DDoS-SYN,1,6,170393,558,84,130,942,35,32,66,46,24,50,1,4,0,23,0,2
DDoS-TCP,0,0,0,182121,57,28,13,366,3,0,1,1,7,1,0,0,0,0,0
DDoS-UDP,9,10,10,19,360157,60,23,26,1749,0,5,0,0,1,0,0,0,0,1
DoS-ICMP,0,610,1,5,33,97686,3,31,38,0,0,3,20,0,0,1,0,0,1
DoS-SYN,2,0,462,0,0,0,98043,1,2,24,2,53,1,0,5,0,0,0,0
DoS-TCP,0,0,0,380,0,0,0,81713,0,0,0,0,2,1,0,0,0,0,0
DoS-UDP,6,1,1,5,156,5,5,5,137366,0,0,1,1,0,0,0,0,0,1
MQTT-DDoS-Connect_Flood,1,0,0,0,0,0,1,0,0,41747,3,161,0,3,0,0,0,0,0
MQTT-DDoS-Publish_Flood,0,0,0,1,0,1,1,0,0,0,1009,0,7400,4,0,0,0,0,0
MQTT-DoS-Connect_Flood,0,0,0,0,0,0,0,1,0,45,1,3084,0,0,0,0,0,0,0
MQTT-DoS-Publish_Flood,1,0,0,0,0,0,0,1,0,0,0,0,8501,1,1,0,0,0,0
MQTT-Malformed_Data,60,0,0,0,0,0,0,0,0,0,0,0,0,1524,20,18,0,0,125
Recon-OS_Scan,112,0,0,0,0,0,0,0,0,0,0,0,0,132,1862,35,1462,30,201
Recon-Ping_Sweep,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,166,0,0,12
Recon-Port_Scan,9,0,0,0,0,0,0,0,0,0,0,0,0,29,8230,22,13326,244,762
Recon-VulScan,113,0,0,0,0,0,0,0,0,0,0,0,0,159,173,40,103,263,183
Spoofing,58,0,0,0,0,0,0,0,0,0,0,0,0,58,7,31,0,214,1376
