,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,25723,0,0,0,0,0,0,0,1,0,13,0,11,2571,964,1610,421,466,5827
DDoS-ICMP,6,75380,0,18,1,273879,4,4,1,10,2,0,5,61,245,78,2,2,1
DDoS-SYN,62,1,163821,79,2,0,7553,3,0,39,302,8,14,272,62,144,20,9,6
DDoS-TCP,48,3,12,181665,6,35,57,594,23,15,19,0,41,24,8,45,0,0,3
DDoS-UDP,17,23,2,32,321140,9,0,34,40284,0,58,0,21,301,26,14,1,41,67
DoS-ICMP,121,12530,0,13,0,85495,2,0,4,11,4,0,61,135,41,5,0,6,4
DoS-SYN,0,0,59818,10,0,0,38519,0,0,91,100,10,2,0,28,0,17,0,0
DoS-TCP,9,1,5,80993,1,10,93,846,6,5,10,0,6,99,2,7,0,0,3
DoS-UDP,1,21,0,17,115189,13,1,29,22166,1,2,0,21,36,2,8,0,3,43
MQTT-DDoS-Connect_Flood,0,0,36,0,0,1,19,0,0,41066,12,762,0,17,2,0,1,0,0
MQTT-DDoS-Publish_Flood,7,0,1,0,0,0,5,0,0,2,1038,4,7354,5,0,0,0,0,0
MQTT-DoS-Connect_Flood,0,0,0,1,0,0,3,0,0,94,5,3028,0,0,0,0,0,0,0
MQTT-DoS-Publish_Flood,5,1,0,0,0,0,0,0,1,0,2,0,8494,2,0,0,0,0,0
MQTT-Malformed_Data,160,0,0,0,0,0,0,0,0,1,1,0,0,1402,23,87,2,5,66
Recon-OS_Scan,145,0,0,0,0,0,0,0,0,0,4,0,2,123,1683,104,1413,95,265
Recon-Ping_Sweep,2,0,0,0,0,0,0,0,0,0,0,0,0,7,0,174,0,0,3
Recon-Port_Scan,6,0,0,0,0,0,1,0,0,0,2,0,0,66,11861,81,9164,1076,365
Recon-VulScan,60,0,0,0,0,0,0,0,0,0,0,0,0,297,153,81,97,267,79
Spoofing,104,0,0,0,0,0,0,0,0,0,0,0,0,109,12,87,1,406,1025
