,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,45,0,2656,14,33576,0,0,1,0,1274,0,0,0,0,11,0,30,0,0
DDoS-ICMP,97,347375,947,407,508,23,15,10,0,102,0,0,0,0,11,0,28,0,176
DDoS-SYN,34,3,129924,31237,645,0,5821,9,0,4558,0,0,0,0,2,0,162,0,2
DDoS-TCP,2,136,2867,30100,253,96522,49627,121,0,1865,0,0,479,612,13,0,1,0,0
DDoS-UDP,5,287,335,0,201294,0,58,0,159618,189,0,0,0,0,0,0,0,0,284
DoS-ICMP,40,1268,382,52099,1104,5972,6,167,5,330,0,0,0,1,3,0,14,0,37041
DoS-SYN,6,5,75484,14815,0,0,2729,1,0,5437,0,0,3,0,0,0,8,0,107
DoS-TCP,293,60,637,37530,820,0,3,42257,0,496,0,0,0,0,0,0,0,0,0
DoS-UDP,0,0,125,0,74451,0,56,0,62561,223,0,0,0,1,0,0,0,0,136
MQTT-DDoS-Connect_Flood,0,0,502,0,0,0,1,0,0,41413,0,0,0,0,0,0,0,0,0
MQTT-DDoS-Publish_Flood,0,0,123,0,6233,0,0,0,0,2060,0,0,0,0,0,0,0,0,0
MQTT-DoS-Connect_Flood,0,0,7,0,0,0,0,0,0,3124,0,0,0,0,0,0,0,0,0
MQTT-DoS-Publish_Flood,0,0,307,0,6473,0,0,0,0,1725,0,0,0,0,0,0,0,0,0
MQTT-Malformed_Data,0,0,420,0,1013,0,0,0,0,314,0,0,0,0,0,0,0,0,0
Recon-OS_Scan,7,0,1996,551,130,0,3,0,0,1010,0,0,0,0,0,0,137,0,0
Recon-Ping_Sweep,47,0,122,7,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0
Recon-Port_Scan,57,0,12750,4205,1755,0,13,0,0,3603,0,0,0,0,0,0,239,0,0
Recon-VulScan,7,0,539,40,103,0,1,0,0,326,0,0,0,0,0,0,18,0,0
Spoofing,5,0,236,3,1359,0,0,0,0,141,0,0,0,0,0,0,0,0,0
