,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,36467,0,0,0,0,0,0,0,0,0,0,0,0,2,7,3,769,3,356
DDoS-ICMP,1,349672,0,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,1
DDoS-SYN,2,0,172261,2,124,1,6,0,0,0,0,0,0,1,0,0,0,0,0
DDoS-TCP,1,0,0,182597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
DDoS-UDP,0,131045,0,1,230966,0,0,0,58,0,0,0,0,0,0,0,0,0,0
DoS-ICMP,1,52,0,0,0,98379,0,0,0,0,0,0,0,0,0,0,0,0,0
DoS-SYN,0,0,14,0,0,0,98581,0,0,0,0,0,0,0,0,0,0,0,0
DoS-TCP,0,0,0,7,0,0,0,82089,0,0,0,0,0,0,0,0,0,0,0
DoS-UDP,0,0,0,0,63,134108,0,0,3381,0,0,0,0,0,0,1,0,0,0
MQTT-DDoS-Connect_Flood,0,0,0,0,0,0,0,0,0,41916,0,0,0,0,0,0,0,0,0
MQTT-DDoS-Publish_Flood,1,0,0,0,0,0,0,0,0,4,1225,0,7185,0,0,0,0,0,1
MQTT-DoS-Connect_Flood,0,0,0,0,0,0,0,0,0,4,0,3127,0,0,0,0,0,0,0
MQTT-DoS-Publish_Flood,0,0,0,0,0,0,0,0,0,0,0,0,8505,0,0,0,0,0,0
MQTT-Malformed_Data,162,0,0,0,0,0,0,0,0,1,0,0,0,1381,11,0,0,0,192
Recon-OS_Scan,200,0,0,0,0,0,0,0,0,0,0,0,0,10,2362,63,1040,153,6
Recon-Ping_Sweep,22,0,0,0,0,0,0,0,0,0,0,0,0,0,1,140,0,0,23
Recon-Port_Scan,76,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,22415,26,36
Recon-VulScan,521,0,0,0,0,0,0,0,0,0,0,0,0,3,56,1,82,364,7
Spoofing,306,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,265,235,935
