,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,34072,3,9,15,35,1,26,2,2093,10,0,1,164,33,17,31,27,7,1061
DDoS-ICMP,99,349072,0,0,0,519,0,1,2,0,2,0,0,2,0,0,2,0,0
DDoS-SYN,446,1,160821,1,0,0,10252,0,0,0,4,0,0,19,2,0,836,0,15
DDoS-TCP,135,0,0,182356,0,0,0,107,0,0,0,0,0,0,0,0,0,0,0
DDoS-UDP,193,1,0,1,359984,0,0,0,1885,0,1,0,0,1,0,0,4,0,0
DoS-ICMP,234,97595,0,0,0,595,0,0,0,0,0,0,0,6,2,0,0,0,0
DoS-SYN,0,0,35696,0,0,0,62722,0,0,4,2,9,0,0,0,0,162,0,0
DoS-TCP,2,0,0,81764,0,0,0,329,0,0,0,0,0,1,0,0,0,0,0
DoS-UDP,30,0,0,0,136920,0,0,0,602,0,0,0,0,0,0,1,0,0,0
MQTT-DDoS-Connect_Flood,18,0,0,3,0,0,0,0,0,41835,1,17,0,0,35,0,7,0,0
MQTT-DDoS-Publish_Flood,154,0,0,1,0,0,0,0,0,0,997,0,7262,1,1,0,0,0,0
MQTT-DoS-Connect_Flood,10,0,0,0,0,0,2,0,0,290,0,2827,0,2,0,0,0,0,0
MQTT-DoS-Publish_Flood,34,0,0,0,0,0,0,0,0,0,0,0,8471,0,0,0,0,0,0
MQTT-Malformed_Data,1066,14,1,1,0,0,11,0,3,261,0,61,10,304,2,1,7,0,5
Recon-OS_Scan,477,0,243,3,0,1,24,0,0,4,0,0,13,1,234,0,2808,25,1
Recon-Ping_Sweep,77,5,0,3,6,0,0,1,1,0,0,0,0,0,1,91,0,0,1
Recon-Port_Scan,462,0,396,0,0,0,101,0,0,3,3,0,28,0,50,1,21274,18,286
Recon-VulScan,539,0,2,1,0,0,2,0,0,9,0,0,12,41,38,1,385,4,0
Spoofing,752,1,0,1,0,0,2,0,2,1,0,0,50,2,0,0,163,15,755
