,Benign,DDoS-ICMP,DDoS-SYN,DDoS-TCP,DDoS-UDP,DoS-ICMP,DoS-SYN,DoS-TCP,DoS-UDP,MQTT-DDoS-Connect_Flood,MQTT-DDoS-Publish_Flood,MQTT-DoS-Connect_Flood,MQTT-DoS-Publish_Flood,MQTT-Malformed_Data,Recon-OS_Scan,Recon-Ping_Sweep,Recon-Port_Scan,Recon-VulScan,Spoofing
Benign,36925,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,231,0,439
DDoS-ICMP,1,349604,1,0,79,13,0,0,0,0,0,0,0,0,0,0,0,0,1
DDoS-SYN,1,1,172028,29,328,1,5,0,1,0,0,0,0,1,1,0,1,0,0
DDoS-TCP,0,0,0,182569,14,0,12,3,0,0,0,0,0,0,0,0,0,0,0
DDoS-UDP,0,115,2,1,361901,1,0,1,49,0,0,0,0,0,0,0,0,0,0
DoS-ICMP,0,58,0,5,0,98347,0,0,22,0,0,0,0,0,0,0,0,0,0
DoS-SYN,0,0,22,0,0,0,98573,0,0,0,0,0,0,0,0,0,0,0,0
DoS-TCP,0,0,0,6,0,0,0,82090,0,0,0,0,0,0,0,0,0,0,0
DoS-UDP,0,0,0,0,66,14,3,0,137468,0,1,0,0,0,0,1,0,0,0
MQTT-DDoS-Connect_Flood,1,0,0,0,0,0,1,0,0,41914,0,0,0,0,0,0,0,0,0
MQTT-DDoS-Publish_Flood,1,0,0,0,0,0,0,6,0,0,7534,0,875,0,0,0,0,0,0
MQTT-DoS-Connect_Flood,0,0,0,0,0,0,0,0,0,4,0,3127,0,0,0,0,0,0,0
MQTT-DoS-Publish_Flood,0,0,0,0,0,0,0,0,0,0,0,0,8505,0,0,0,0,0,0
MQTT-Malformed_Data,232,0,0,0,0,0,0,0,0,0,0,0,0,1467,1,0,0,0,47
Recon-OS_Scan,231,0,0,0,0,0,0,0,0,0,0,0,0,3,2440,0,1140,7,13
Recon-Ping_Sweep,26,0,0,0,0,0,0,0,0,0,0,0,0,0,10,126,2,0,22
Recon-Port_Scan,82,0,0,0,0,0,0,0,0,0,0,0,0,0,101,1,22380,24,34
Recon-VulScan,349,0,0,0,0,0,0,0,0,0,0,0,0,1,258,7,76,330,13
Spoofing,222,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,50,12,1455
