Scenario,Model,SingleSample_Mean_ms,SingleSample_Median_ms,SingleSample_P95_ms,SingleSample_P99_ms,Batch_Throughput_samples_s,Batch_Amortized_ms,Batch_Total_s
2-class,Random Forest,15.291530,13.954375,25.191951,29.882686,1893564.462048,0.000528,0.852457
2-class,Logistic Regression,0.031753,0.025223,0.066219,0.116653,5947340.161109,0.000168,0.271412
2-class,LightGBM (Original),1.223942,0.601009,4.028699,5.847043,4603889.799113,0.000217,0.350613
2-class,LightGBM (Tuned),1.080911,0.560692,3.808702,6.021524,643468.437177,0.001554,2.508564
6-class,Random Forest,13.640112,13.098377,15.182147,25.090282,991470.522423,0.001009,1.628069
6-class,Logistic Regression,0.027959,0.022738,0.057354,0.094047,4804781.214376,0.000208,0.335953
6-class,LightGBM (Original),0.608281,0.546692,0.867677,1.662368,892772.351886,0.001120,1.808056
6-class,LightGBM (Tuned),0.760110,0.671914,1.043565,2.657635,125444.295508,0.007972,12.867719
19-class,Random Forest,14.887073,13.841860,24.033211,28.616642,389942.862547,0.002564,4.139535
19-class,Logistic Regression,0.030973,0.022799,0.075334,0.153715,5007204.440027,0.000200,0.322372
19-class,LightGBM (Original),1.191165,0.760562,3.454728,6.010096,297777.765603,0.003358,5.420761
19-class,LightGBM (Tuned),4.107693,3.837368,6.018940,7.937038,6081.376621,0.164436,265.430362
2-class,1D-CNN,31.995932,31.364422,35.790531,40.413002,464081.543204,0.002155,3.478229
2-class,Light-CNN,33.186859,32.522767,38.399281,43.532888,456212.857677,0.002192,3.538221
2-class,Autoencoder,33.435190,32.864102,38.979822,44.382407,398975.886873,0.002506,4.045813
6-class,1D-CNN,39.166807,37.525259,53.201773,62.107536,392362.539549,0.002549,4.114006
6-class,Light-CNN,33.373796,32.811133,38.457158,42.079564,448957.821128,0.002227,3.595398
6-class,Autoencoder,33.416724,32.924820,38.460990,42.149382,447932.508817,0.002232,3.603628
19-class,1D-CNN,34.113597,33.584628,39.712725,44.274385,433589.669974,0.002306,3.722833
19-class,Light-CNN,33.693489,33.231172,38.607745,42.432710,420466.243572,0.002378,3.839029
19-class,Autoencoder,33.713586,33.263274,38.579490,43.545177,439511.801573,0.002275,3.672670
