Scenario,Model,Device,SingleSample_Mean_ms,SingleSample_Median_ms,SingleSample_P95_ms,SingleSample_P99_ms,Batch_Throughput_samples_s,Batch_Amortized_ms,Batch_Total_s
2-class,Random Forest,CPU,15.584562,13.896592,26.493406,29.877852,2764235.058349,0.000362,0.583953
2-class,Logistic Regression,CPU,0.034636,0.027463,0.064608,0.113620,7085928.913704,0.000141,0.227801
2-class,LightGBM (Original),CPU,2.356633,1.261831,5.771196,7.455787,3877683.950366,0.000258,0.416275
2-class,LightGBM (Tuned),CPU,2.149073,1.044429,5.806478,8.443203,472382.841104,0.002117,3.417105
6-class,Random Forest,CPU,14.556453,13.723425,16.836585,29.531072,1233322.009709,0.000811,1.308808
6-class,Logistic Regression,CPU,0.033956,0.024580,0.068822,0.122187,5148371.886037,0.000194,0.313533
6-class,LightGBM (Original),CPU,2.763917,2.066515,6.346543,9.016042,599523.622933,0.001668,2.692441
6-class,LightGBM (Tuned),CPU,3.245978,2.674911,7.030228,9.890116,98631.885611,0.010139,16.365722
19-class,Random Forest,CPU,15.668770,13.881783,26.351102,38.832292,417219.013709,0.002397,3.868908
19-class,Logistic Regression,CPU,0.031867,0.024918,0.056559,0.139903,4565432.052107,0.000219,0.353566
19-class,LightGBM (Original),CPU,2.571268,1.596430,6.851663,10.470664,206904.194893,0.004833,7.801591
19-class,LightGBM (Tuned),CPU,5.223093,4.792187,7.714323,11.173296,4888.212612,0.204574,330.219270
2-class,1D-CNN,CPU,37.549810,36.523664,46.697099,55.754851,134032.853638,0.007461,12.043182
2-class,Light-CNN,CPU,38.622183,36.754257,49.026987,71.338192,84660.446636,0.011812,19.066542
6-class,1D-CNN,CPU,40.141909,37.747866,56.911512,85.283681,110616.358017,0.009040,14.592616
6-class,Light-CNN,CPU,37.430245,36.697841,47.338165,52.621485,83416.389708,0.011988,19.350897
19-class,1D-CNN,CPU,37.846583,36.808268,47.514141,52.971515,132907.063568,0.007524,12.145193
19-class,Light-CNN,CPU,37.773877,36.684669,47.823552,54.828325,83638.544003,0.011956,19.299499
19-class,Autoencoder,CPU,37.744317,37.040504,45.432714,53.904254,496653.985283,0.002013,3.250114
