Model_A,Model_B,Chi2,p_value,Significance
Random Forest,Logistic Regression,380691.4600532728,0.0,***
Random Forest,LightGBM (Original),744386.3181938928,0.0,***
Random Forest,LightGBM (Tuned),269825.8263537906,0.0,***
Random Forest,1D-CNN,27454.342887640098,0.0,***
Random Forest,Light-CNN,623925.2160919139,0.0,***
Logistic Regression,LightGBM (Original),219267.51886645242,0.0,***
Logistic Regression,LightGBM (Tuned),32172.80510214502,0.0,***
Logistic Regression,1D-CNN,323103.13424586033,0.0,***
Logistic Regression,Light-CNN,124600.6059558953,0.0,***
LightGBM (Original),LightGBM (Tuned),301322.80669866904,0.0,***
LightGBM (Original),1D-CNN,709494.503940218,0.0,***
LightGBM (Original),Light-CNN,15871.223601517591,0.0,***
LightGBM (Tuned),1D-CNN,203417.26420337553,0.0,***
LightGBM (Tuned),Light-CNN,201443.50403646188,0.0,***
1D-CNN,Light-CNN,579942.3785101302,0.0,***
