class,support,RF_P,RF_R,RF_F1,CNN_P,CNN_R,CNN_F1,LGBM-T_P,LGBM-T_R,LGBM-T_F1,LR_P,LR_R,LR_F1
Benign,37607,0.97,0.982,0.976,0.988,0.792,0.879,0.966,0.97,0.968,0.878,0.906,0.892
DDoS-ICMP,349699,1.0,1.0,1.0,0.998,0.998,0.998,0.727,1.0,0.842,0.781,0.998,0.877
DDoS-SYN,172397,1.0,0.998,0.999,0.997,0.988,0.993,1.0,0.999,1.0,0.816,0.933,0.87
DDoS-TCP,182598,1.0,1.0,1.0,0.995,0.997,0.996,1.0,1.0,1.0,0.69,0.999,0.816
DDoS-UDP,362070,0.999,1.0,0.999,0.999,0.995,0.997,0.999,0.638,0.779,0.724,0.994,0.838
DoS-ICMP,98432,1.0,0.999,0.999,0.993,0.992,0.992,0.423,0.999,0.595,0.533,0.006,0.012
DoS-SYN,98595,1.0,1.0,1.0,0.99,0.994,0.992,1.0,1.0,1.0,0.858,0.636,0.73
DoS-TCP,82096,1.0,1.0,1.0,0.994,0.995,0.995,1.0,1.0,1.0,0.748,0.004,0.008
DoS-UDP,137553,0.999,0.999,0.999,0.987,0.999,0.993,0.983,0.025,0.048,0.131,0.004,0.008
MQTT-DDoS-Connect_Flood,41916,1.0,1.0,1.0,0.997,0.996,0.996,1.0,1.0,1.0,0.986,0.998,0.992
MQTT-DDoS-Publish_Flood,8416,1.0,0.895,0.945,0.945,0.12,0.213,1.0,0.146,0.254,0.987,0.118,0.212
MQTT-DoS-Connect_Flood,3131,1.0,0.999,0.999,0.927,0.985,0.955,1.0,0.999,0.999,0.97,0.903,0.935
MQTT-DoS-Publish_Flood,8505,0.907,1.0,0.951,0.532,1.0,0.694,0.542,1.0,0.703,0.529,0.996,0.691
MQTT-Malformed_Data,1747,0.995,0.84,0.911,0.563,0.872,0.684,0.988,0.79,0.878,0.736,0.174,0.281
Recon-OS_Scan,3834,0.864,0.636,0.733,0.177,0.486,0.26,0.942,0.616,0.745,0.613,0.061,0.111
Recon-Ping_Sweep,186,0.92,0.677,0.78,0.213,0.892,0.344,0.67,0.753,0.709,0.722,0.489,0.583
Recon-Port_Scan,22622,0.937,0.989,0.963,0.892,0.589,0.71,0.912,0.991,0.95,0.829,0.94,0.881
Recon-VulScan,1034,0.885,0.319,0.469,0.307,0.254,0.278,0.466,0.352,0.401,0.058,0.004,0.007
Spoofing,1744,0.719,0.834,0.772,0.155,0.789,0.259,0.601,0.536,0.566,0.355,0.433,0.39
